날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모
2026-05-04,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-1550,KRW,Air One (에어원) 스카이패스,
2026-05-03,12:41,지출,온라인쇼핑,인터넷쇼핑,주식회사 카카오,-10400,KRW,카카오페이 간편결제,
2026-05-03,10:15,지출,금융,증권/투자,0713929795345,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-05-03,10:14,지출,금융,증권/투자,0713929795343,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-05-03,10:13,지출,금융,증권/투자,0713929795341,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-05-03,10:11,지출,뷰티/미용,헤어샵,0713929795339,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-05-03,10:10,지출,뷰티/미용,헤어샵,0713929795337,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-05-03,10:09,지출,금융,증권/투자,0713929795335,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-05-03,05:04,지출,자동차,통행료,한국도로공사,-1500,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-05-02,20:18,이체,이체,미분류,이용순,-1002000,KRW,신한 주거래 우대통장(S-lite),
2026-05-02,20:03,이체,미분류,미분류,입금 내역,1000000,KRW,신한 주거래 우대통장(S-lite),
2026-05-02,20:02,이체,미분류,미분류,출금 내역,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-05-02,20:01,이체,미분류,미분류,출금 내역,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-05-02,20:00,이체,미분류,미분류,출금 내역,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-05-02,19:59,이체,미분류,미분류,출금 내역,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-05-02,19:58,이체,미분류,미분류,출금 내역,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-05-02,19:57,이체,미분류,미분류,출금 내역,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-05-02,09:23,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-44300,KRW,Air One (에어원) 스카이패스,
2026-05-02,07:40,지출,금융,세금/과태료,토스인컴,-100,KRW,토스 간편결제,
2026-05-01,20:13,이체,이체,미분류,이용숙,300000,KRW,신한 주거래 우대통장(S-lite),
2026-05-01,11:57,지출,온라인쇼핑,인터넷쇼핑,주식회사 카카오,-18400,KRW,카카오페이 간편결제,
2026-05-01,08:21,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-35860,KRW,Air One (에어원) 스카이패스,
2026-05-01,05:06,지출,주거/통신,휴대폰,자동결제2_다날1,-3483,KRW,Air One (에어원) 스카이패스,
2026-04-30,08:41,이체,현금,미분류,004.송영애,-800000,KRW,신한 주거래 우대통장(S-lite),
2026-04-29,20:03,지출,생활,편의점,코레일유통주식회사(부개역),-3000,KRW,KT DC Plus KB국민카드,
2026-04-29,19:46,지출,생활,마트,한샘마트,-18560,KRW,KT DC Plus KB국민카드,
2026-04-29,16:35,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-86490,KRW,Air One (에어원) 스카이패스,
2026-04-29,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-1550,KRW,Air One (에어원) 스카이패스,
2026-04-28,13:58,지출,생활,편의점,씨유(CU) 부개서초교점,-2400,KRW,Air One (에어원) 스카이패스,
2026-04-28,11:06,지출,카페/간식,커피/음료,메가엠지씨 커피 인천 부개점,-2900,KRW,Air One (에어원) 스카이패스,
2026-04-28,07:07,지출,자동차,통행료,한국도로공사,-900,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-04-28,07:07,지출,자동차,통행료,서울터널,-5400,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-04-28,07:07,지출,생활,생활서비스,인천광역시경제자유구역청,-4000,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-04-28,06:37,이체,저축,미분류,카카오(c),1530,KRW,신한 주거래 우대통장(S-lite),
2026-04-27,19:21,지출,금융,보험,NH손보106회,-43470,KRW,신한 주거래 우대통장(S-lite),
2026-04-27,18:55,지출,금융,카드,현대카드(주),-1483051,KRW,신한 주거래 우대통장(S-lite),
2026-04-27,18:55,지출,금융,카드,현대카드(주),-34100,KRW,신한 주거래 우대통장(S-lite),
2026-04-27,18:51,이체,카드대금,미분류,KB카드출금,-340890,KRW,신한 주거래 우대통장(S-lite),
2026-04-27,18:38,지출,금융,이자/대출,한국장학재단,-58817,KRW,신한 주거래 우대통장(S-lite),
2026-04-27,18:11,이체,카드대금,미분류,신한카드,-2691450,KRW,신한 주거래 우대통장(S-lite),
2026-04-27,15:28,지출,생활,편의점,GS25 부개SK뷰점,-3000,KRW,카카오페이 간편결제,
2026-04-27,10:44,지출,카페/간식,커피/음료,메가엠지씨 커피 인천 부개점,-3600,KRW,Air One (에어원) 스카이패스,
2026-04-27,06:08,지출,금융,증권/투자,311243546349,-79835,KRW,신한 주거래 우대통장(S-lite),
2026-04-27,06:08,지출,여행/숙박,항공권,311234455656,-48988,KRW,신한 주거래 우대통장(S-lite),
2026-04-27,05:18,지출,자동차,통행료,한국도로공사,-900,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-04-26,18:32,지출,교통,택시,주식회사 카카오모빌리티,-4800,KRW,Air One (에어원) 스카이패스,
2026-04-26,17:59,지출,문화/여가,전시/관람,(주)서울오션아쿠아리움,-23000,KRW,Air One (에어원) 스카이패스,
2026-04-25,12:06,지출,식비,한식,엠브로돈까스 북가좌점,-19800,KRW,Air One (에어원) 스카이패스,
2026-04-25,04:29,수입,금융수입,미분류,이자,1,KRW,MY 입출금통장,
2026-04-25,00:51,지출,온라인쇼핑,서비스구독,Netflix.com,-17000,KRW,Air One (에어원) 스카이패스,
2026-04-25,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-3500,KRW,Air One (에어원) 스카이패스,
2026-04-24,18:25,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-40740,KRW,Air One (에어원) 스카이패스,
2026-04-24,15:23,지출,주거/통신,관리비,KB아파트관리비,-249110,KRW,KT DC Plus KB국민카드,
2026-04-24,08:51,지출,교통,철도,한국철도공사,23700,KRW,카카오페이 간편결제,
2026-04-24,07:00,지출,교통,철도,한국철도공사,-22500,KRW,카카오페이 간편결제,
2026-04-23,18:43,지출,온라인쇼핑,서비스구독,유튜브프리미엄,-14900,KRW,Air One (에어원) 스카이패스,
2026-04-23,17:31,지출,생활,마트,한샘마트,-15290,KRW,KT DC Plus KB국민카드,
2026-04-22,19:43,지출,생활,마트,한샘마트,-18370,KRW,KT DC Plus KB국민카드,
2026-04-22,17:44,이체,저축,미분류,THIDA TUN,4200000,KRW,신한 주거래 우대통장(S-lite),
2026-04-22,17:43,이체,저축,미분류,THIDA TUN,9000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-22,17:43,이체,저축,미분류,THIDA TUN,9000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-22,13:27,지출,주거/통신,월세,원옌츄(더풋샵인천대,-350000,KRW,신한 주거래 우대통장(S-lite),
2026-04-22,09:38,지출,자동차,주차,스마트로_세외수입(오프),-450,KRW,KT DC Plus KB국민카드,
2026-04-22,09:28,지출,의료/건강,약국,메디팜하나로약국,-2300,KRW,KT DC Plus KB국민카드,
2026-04-22,09:24,지출,의료/건강,소아과,이현주소아청소년과의원,-2900,KRW,KT DC Plus KB국민카드,
2026-04-21,23:13,지출,생활,생활서비스,이지디자인,-746,KRW,네이버페이 간편결제(포인트),
2026-04-21,23:13,지출,생활,생활서비스,이지디자인,-33054,KRW,네이버페이 간편결제,
2026-04-21,19:59,지출,생활,마트,홈플러스익스프레스  인천부개역점,-2500,KRW,Air One (에어원) 스카이패스,
2026-04-21,19:58,지출,생활,마트,홈플러스익스프레스  인천부개역점,-11540,KRW,Air One (에어원) 스카이패스,
2026-04-21,18:17,지출,교통,철도,한국철도공사,-23700,KRW,카카오페이 간편결제,
2026-04-21,07:17,지출,자동차,통행료,한국도로공사,-2400,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-04-21,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-1850,KRW,Air One (에어원) 스카이패스,
2026-04-20,17:33,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-44290,KRW,Air One (에어원) 스카이패스,
2026-04-20,07:10,지출,금융,보험,KB손021 04,-13000,KRW,신한 주거래 우대통장(S-lite),
2026-04-19,19:40,지출,식비,양식,(유)아웃백스테이크하우스 파주점,-169830,KRW,Air One (에어원) 스카이패스,
2026-04-19,10:46,지출,생활,마트,한샘마트,-102790,KRW,KT DC Plus KB국민카드,
2026-04-18,09:59,지출,자동차,주차,스마트로_세외수입(오프),-650,KRW,KT DC Plus KB국민카드,
2026-04-18,09:49,지출,의료/건강,약국,메디팜하나로약국,-7300,KRW,KT DC Plus KB국민카드,
2026-04-18,09:47,지출,의료/건강,소아과,이현주소아청소년과의원,-3500,KRW,KT DC Plus KB국민카드,
2026-04-18,09:46,이체,저축,미분류,예금결산이자,0,KRW,우리 SUPER주거래 통장,
2026-04-18,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-1750,KRW,Air One (에어원) 스카이패스,
2026-04-17,20:24,지출,카페/간식,커피/음료,빽다방 인천부개코오롱점,-8100,KRW,KT DC Plus KB국민카드,
2026-04-17,15:54,이체,현금,미분류,THIDA TUN,-30000,KRW,신한 주거래 우대통장(S-lite),
2026-04-16,20:09,이체,저축,미분류,THIDA TUN,5000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-16,14:10,수입,급여,미분류,육아급여고용부,2500000,KRW,신한 주거래 우대통장(S-lite),
2026-04-16,13:06,지출,뷰티/미용,헤어샵,0713929779080,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-16,13:05,지출,뷰티/미용,헤어샵,0713929779078,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-16,13:04,지출,뷰티/미용,헤어샵,0713929779076,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-16,13:03,지출,뷰티/미용,헤어샵,0713929779074,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-16,13:02,지출,뷰티/미용,헤어샵,0713929779072,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-16,13:01,지출,뷰티/미용,헤어샵,0713929779070,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-16,12:25,이체,저축,미분류,THIDA TUN,6000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-15,20:01,지출,생활,생필품,주식회사 아성다이소,-25000,KRW,Air One (에어원) 스카이패스,
2026-04-15,17:52,지출,온라인쇼핑,인터넷쇼핑,주식회사 카카오,-24100,KRW,카카오페이 간편결제,
2026-04-15,15:44,지출,생활,생활서비스,프린트카페 부평역점,-140,KRW,KT DC Plus KB국민카드,
2026-04-15,15:41,지출,생활,생활서비스,프린트카페 부평역점,-140,KRW,KT DC Plus KB국민카드,
2026-04-15,12:35,지출,여행/숙박,항공권,주식회사 파라타항공,-116100,KRW,Air One (에어원) 스카이패스,
2026-04-15,12:35,지출,여행/숙박,항공권,주식회사 파라타항공,-131300,KRW,Air One (에어원) 스카이패스,
2026-04-15,12:35,지출,여행/숙박,여행,놀유니버스,-5000,KRW,Air One (에어원) 스카이패스,
2026-04-15,12:35,지출,여행/숙박,여행,놀유니버스,-5000,KRW,Air One (에어원) 스카이패스,
2026-04-15,11:42,지출,의료/건강,약국,한마을약국,-2000,KRW,KT DC Plus KB국민카드,
2026-04-15,11:39,지출,의료/건강,피부과,메트로피부과,-5600,KRW,KT DC Plus KB국민카드,
2026-04-15,09:46,이체,이체,미분류,이*미,200000,KRW,카카오페이 머니,
2026-04-15,07:07,지출,주거/통신,인터넷,LGU+77651357,-13910,KRW,신한 주거래 우대통장(S-lite),
2026-04-15,07:05,지출,주거/통신,인터넷,LGU+84273357,-10280,KRW,신한 주거래 우대통장(S-lite),
2026-04-14,18:25,지출,금융,이자/대출,한국장학재단,-58510,KRW,신한 주거래 우대통장(S-lite),
2026-04-14,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-1750,KRW,Air One (에어원) 스카이패스,
2026-04-13,10:45,지출,온라인쇼핑,인터넷쇼핑,나이스_당근페이,-500000,KRW,Air One (에어원) 스카이패스,
2026-04-13,09:46,지출,식비,한식,김밥천국송도점,-3500,KRW,KT DC Plus KB국민카드,
2026-04-13,09:46,지출,생활,편의점,이마트24 송도캐슬센트럴점,-1100,KRW,KT DC Plus KB국민카드,
2026-04-13,08:58,지출,주거/통신,인터넷,KT유선상품자동납부,-36300,KRW,KT DC Plus KB국민카드,
2026-04-12,20:58,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-86780,KRW,Air One (에어원) 스카이패스,
2026-04-12,16:58,지출,카페/간식,커피/음료,(주)라붐에프앤비,-11500,KRW,KT DC Plus KB국민카드,
2026-04-12,10:32,지출,카페/간식,커피/음료,(주)라붐에프앤비,-18000,KRW,KT DC Plus KB국민카드,
2026-04-10,22:19,이체,저축,미분류,THIDA TUN,132000,KRW,신한 주거래 우대통장(S-lite),
2026-04-10,22:17,이체,이체,미분류,이서정,-132000,KRW,신한 주거래 우대통장(S-lite),
2026-04-10,18:27,지출,금융,이자/대출,한국장학재단,-60292,KRW,신한 주거래 우대통장(S-lite),
2026-04-10,16:04,이체,현금,미분류,THIDA TUN,-443000,KRW,신한 주거래 우대통장(S-lite),
2026-04-10,14:56,이체,이체,미분류,안연심,-50000,KRW,신한 주거래 우대통장(S-lite),
2026-04-10,14:07,이체,이체,미분류,안연심,-400000,KRW,신한 주거래 우대통장(S-lite),
2026-04-10,14:07,이체,이체,미분류,안연심,-1800000,KRW,신한 주거래 우대통장(S-lite),
2026-04-10,13:22,지출,뷰티/미용,헤어샵,하르르,-9000,KRW,Air One (에어원) 스카이패스,
2026-04-10,13:20,이체,저축,미분류,THIDA TUN,3000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-10,07:01,지출,온라인쇼핑,인터넷쇼핑,인천가스2604,-194950,KRW,신한 주거래 우대통장(S-lite),
2026-04-09,08:09,지출,주거/통신,휴대폰,LG  U+통신요금  자동이체,-26900,KRW,Air One (에어원) 스카이패스,
2026-04-08,21:32,지출,뷰티/미용,헤어샵,하르르헤어,-9000,KRW,네이버페이 간편결제,
2026-04-08,18:25,지출,금융,이자/대출,한국장학재단,-69159,KRW,신한 주거래 우대통장(S-lite),
2026-04-08,18:25,지출,금융,이자/대출,한국장학재단,-59826,KRW,신한 주거래 우대통장(S-lite),
2026-04-08,17:49,지출,카페/간식,커피/음료,메가엠지씨 커피 인천 부개점,-8100,KRW,Air One (에어원) 스카이패스,
2026-04-08,17:37,지출,식비,고기,유한실사현수막광고,-35000,KRW,Air One (에어원) 스카이패스,
2026-04-08,16:26,지출,식비,한식,진선미꽃2호점,-10000,KRW,Air One (에어원) 스카이패스,
2026-04-08,10:49,지출,금융,은행,환전지갑신청(0996CCS264390911),-14799800,KRW,저축예금,
2026-04-08,10:20,이체,저축,미분류,THIDA TUN,7550000,KRW,신한 주거래 우대통장(S-lite),
2026-04-08,10:19,이체,저축,미분류,THIDA TUN,7500000,KRW,신한 주거래 우대통장(S-lite),
2026-04-07,16:52,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-56200,KRW,Air One (에어원) 스카이패스,
2026-04-07,15:56,지출,카페/간식,커피/음료,빽다방 인천부개코오롱점,-9000,KRW,Air One (에어원) 스카이패스,
2026-04-06,17:25,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-26060,KRW,Air One (에어원) 스카이패스,
2026-04-06,09:18,지출,생활,생활서비스,이지디자인,-291,KRW,네이버페이 간편결제(포인트),
2026-04-06,09:18,지출,생활,생활서비스,이지디자인,-33509,KRW,네이버페이 간편결제,
2026-04-05,17:49,지출,자동차,주차,주차장_KICC,-6000,KRW,KT DC Plus KB국민카드,
2026-04-05,10:57,지출,온라인쇼핑,인터넷쇼핑,인천광역시(비)_스마트로,-1500,KRW,KT DC Plus KB국민카드,
2026-04-05,10:36,지출,금융,증권/투자,0811367528171,-1000900,KRW,신한 주거래 우대통장(S-lite),
2026-04-05,10:35,지출,금융,증권/투자,0811367528169,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-05,10:34,지출,금융,증권/투자,0811367528167,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-05,10:34,지출,금융,증권/투자,0811367528165,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-05,10:33,지출,금융,증권/투자,0811367528163,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-05,10:32,지출,금융,증권/투자,0811367528161,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-05,09:50,이체,저축,미분류,THIDA TUN,6000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-04,15:59,지출,카페/간식,베이커리,(주)분아뜰리에 MHT인천지점,-26300,KRW,Air One (에어원) 스카이패스,
2026-04-04,10:52,지출,뷰티/미용,헤어샵,0713929776933,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-04,10:51,지출,뷰티/미용,헤어샵,0713929776931,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-04,10:50,지출,뷰티/미용,헤어샵,0713929776929,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-04,10:49,지출,금융,증권/투자,0713929776927,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-04,10:47,지출,금융,증권/투자,0713929776923,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-04,10:46,지출,금융,증권/투자,0713929776921,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-04,10:16,이체,저축,미분류,THIDA TUN,6000000,KRW,신한 주거래 우대통장(S-lite),
2026-04-04,01:19,지출,금융,이자/대출,한도대출이자,-237136,KRW,저축예금,
2026-04-02,18:03,지출,생활,편의점,지에스(GS)25 부개북부역,-12100,KRW,Air One (에어원) 스카이패스,
2026-04-02,14:12,지출,금융,보험,삼성화재해상보험(주),-5310,KRW,Air One (에어원) 스카이패스,
2026-04-02,14:12,지출,금융,보험,삼성화재해상보험(주),-536600,KRW,Air One (에어원) 스카이패스,
2026-04-02,13:43,지출,금융,보험,삼성화재해상보험(주),-351420,KRW,Air One (에어원) 스카이패스,
2026-04-02,09:53,지출,생활,생활서비스,우정사업본부(우체국),-2920,KRW,Air One (에어원) 스카이패스,
2026-04-01,19:09,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-35590,KRW,Air One (에어원) 스카이패스,
2026-04-01,15:52,지출,생활,생활서비스,이지디자인,-90,KRW,네이버페이 간편결제(포인트),
2026-04-01,15:52,지출,생활,생활서비스,이지디자인,-38110,KRW,네이버페이 간편결제,
2026-04-01,05:06,지출,주거/통신,휴대폰,자동결제2_다날1,-3483,KRW,Air One (에어원) 스카이패스,
2026-03-31,19:02,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-64340,KRW,Air One (에어원) 스카이패스,
2026-03-31,07:24,지출,자동차,통행료,한국도로공사,-5200,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-03-31,07:24,지출,자동차,통행료,서부내륙고속도로,-3700,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-03-31,07:24,지출,자동차,통행료,제이서해안고속도로,-2900,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-03-30,09:32,지출,자동차,주차,스마트로-세외수입(비인증),-650,KRW,Air One (에어원) 스카이패스,
2026-03-30,09:23,지출,의료/건강,약국,메디팜하나로약국,-6000,KRW,Air One (에어원) 스카이패스,
2026-03-30,09:20,지출,의료/건강,약국,메디팜하나로약국,-2800,KRW,Air One (에어원) 스카이패스,
2026-03-30,09:17,지출,의료/건강,소아과,이현주소아청소년과의원,-2900,KRW,Air One (에어원) 스카이패스,
2026-03-30,08:46,이체,현금,미분류,004.송영애,-800000,KRW,신한 주거래 우대통장(S-lite),
2026-03-30,05:04,지출,자동차,통행료,한국도로공사,-10000,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-03-29,21:09,이체,현금,미분류,THIDA TUN,-200000,KRW,신한 주거래 우대통장(S-lite),
2026-03-29,16:34,지출,문화/여가,음악,빌리,-22300,KRW,Air One (에어원) 스카이패스,
2026-03-29,10:29,이체,미분류,미분류,입금 내역,5,KRW,NH주거래우대통장,
2026-03-28,21:15,지출,카페/간식,커피/음료,(주)에스씨케이 컴퍼니,-20000,KRW,Air One (에어원) 스카이패스,
2026-03-28,13:30,지출,카페/간식,베이커리,뚜레쥬르 부개역북부점,-23000,KRW,Air One (에어원) 스카이패스,
2026-03-28,04:19,수입,금융수입,미분류,이자,1,KRW,MY 입출금통장,
2026-03-27,09:54,지출,온라인쇼핑,인터넷쇼핑,주식회사 카카오,-5200,KRW,카카오페이 간편결제,
2026-03-27,09:32,지출,자동차,주차,스마트로-세외수입(비인증),-850,KRW,Air One (에어원) 스카이패스,
2026-03-27,09:18,지출,의료/건강,약국,메디팜하나로약국,-2500,KRW,Air One (에어원) 스카이패스,
2026-03-27,09:16,지출,의료/건강,소아과,이현주소아청소년과의원,-900,KRW,Air One (에어원) 스카이패스,
2026-03-27,09:15,지출,의료/건강,소아과,이현주소아청소년과의원,-4000,KRW,Air One (에어원) 스카이패스,
2026-03-27,06:01,지출,여행/숙박,항공권,311234455656,-44247,KRW,신한 주거래 우대통장(S-lite),
2026-03-26,18:27,이체,카드대금,미분류,KB카드출금,-293230,KRW,신한 주거래 우대통장(S-lite),
2026-03-26,18:01,이체,카드대금,미분류,신한카드,-1283652,KRW,신한 주거래 우대통장(S-lite),
2026-03-26,17:14,지출,의료/건강,약국,부개하늘약국,-4000,KRW,Air One (에어원) 스카이패스,
2026-03-26,15:28,지출,카페/간식,도넛/핫도그,카페 앨리스,-10500,KRW,Air One (에어원) 스카이패스,
2026-03-26,13:43,이체,저축,미분류,THIDA TUN,440500,KRW,신한 주거래 우대통장(S-lite),
2026-03-26,13:10,지출,온라인쇼핑,인터넷쇼핑,FACEBOOK ADVERTISING (KOR,-12047,KRW,Air One (에어원) 스카이패스,
2026-03-26,12:56,지출,여행/숙박,항공권,주식회사 파라타항공,-420400,KRW,Air One (에어원) 스카이패스,
2026-03-26,12:56,지출,여행/숙박,여행,놀유니버스,-10000,KRW,Air One (에어원) 스카이패스,
2026-03-26,11:27,지출,의료/건강,약국,일호약국,-6200,KRW,Air One (에어원) 스카이패스,
2026-03-26,11:25,지출,의료/건강,안과,부평드림안과,-13100,KRW,Air One (에어원) 스카이패스,
2026-03-26,10:55,이체,미분류,미분류,입금 내역,330000,KRW,신한 주거래 우대통장(S-lite),
2026-03-26,06:00,지출,금융,증권/투자,311243546349,-66586,KRW,신한 주거래 우대통장(S-lite),
2026-03-26,05:34,지출,자동차,통행료,서울터널,-5400,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-03-25,19:10,지출,금융,보험,NH손보105회,-43470,KRW,신한 주거래 우대통장(S-lite),
2026-03-25,18:49,지출,금융,카드,현대카드(주),-1483051,KRW,신한 주거래 우대통장(S-lite),
2026-03-25,18:49,지출,금융,카드,현대카드(주),-5400,KRW,신한 주거래 우대통장(S-lite),
2026-03-25,18:36,지출,금융,이자/대출,한국장학재단,-58398,KRW,신한 주거래 우대통장(S-lite),
2026-03-25,15:22,지출,주거/통신,관리비,KB아파트관리비,-267790,KRW,KT DC Plus KB국민카드,
2026-03-25,03:43,수입,급여,미분류,급여,1406940,KRW,신한 주거래 우대통장(S-lite),
2026-03-25,01:16,지출,온라인쇼핑,서비스구독,Netflix.com,-17000,KRW,Air One (에어원) 스카이패스,
2026-03-24,14:28,지출,자동차,주유,(주)승지 승일주유소,-6000,KRW,Air One (에어원) 스카이패스,
2026-03-24,13:42,지출,자동차,주차,세외수입-KICC,-500,KRW,Air One (에어원) 스카이패스,
2026-03-24,09:36,지출,금융,은행,환전지갑신청(0996CCS263358029),-7497050,KRW,저축예금,
2026-03-24,03:11,이체,저축,미분류,THIDA TUN,150000,KRW,신한 주거래 우대통장(S-lite),
2026-03-24,03:10,이체,저축,미분류,THIDA TUN,4545000,KRW,신한 주거래 우대통장(S-lite),
2026-03-24,03:08,이체,저축,미분류,THIDA TUN,9000000,KRW,신한 주거래 우대통장(S-lite),
2026-03-24,03:08,이체,저축,미분류,THIDA TUN,9000000,KRW,신한 주거래 우대통장(S-lite),
2026-03-24,00:31,지출,금융,은행,환전지갑신청(0996CCS263357446),-7444000,KRW,저축예금,
2026-03-23,20:44,지출,여행/숙박,해외결제,외화사신금액,-7463000,KRW,저축예금,
2026-03-23,18:43,지출,온라인쇼핑,서비스구독,유튜브프리미엄,-14900,KRW,Air One (에어원) 스카이패스,
2026-03-23,17:39,지출,카페/간식,도넛/핫도그,신사와꽈배기,-3000,KRW,Air One (에어원) 스카이패스,
2026-03-23,17:28,지출,생활,생필품,주식회사 아성다이소,-9000,KRW,Air One (에어원) 스카이패스,
2026-03-23,15:29,지출,카페/간식,커피/음료,빽다방 인천부개코오롱점,-6400,KRW,Air One (에어원) 스카이패스,
2026-03-23,04:32,지출,자동차,통행료,한국도로공사,-900,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-03-23,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-450,KRW,Air One (에어원) 스카이패스,
2026-03-23,00:00,지출,교통,대중교통,모바일_삼성페이_후불버스,-1500,KRW,Air One (에어원) 스카이패스,
2026-03-22,12:49,이체,투자,미분류,김상아(문구다),500,KRW,신한 주거래 우대통장(S-lite),
2026-03-22,12:35,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-30900,KRW,Air One (에어원) 스카이패스,
2026-03-22,12:30,지출,생활,생필품,문구다,-2500,KRW,Air One (에어원) 스카이패스,
2026-03-22,12:22,지출,온라인쇼핑,인터넷쇼핑,주식회사 카카오,-39900,KRW,카카오페이 간편결제,
2026-03-22,10:03,지출,자동차,통행료,한국도로공사,-4200,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-03-21,12:40,지출,패션/쇼핑,패션,드림790,-36100,KRW,KT DC Plus KB국민카드,
2026-03-21,11:59,지출,자동차,주차,파킹클라우드,-1000,KRW,Air One (에어원) 스카이패스,
2026-03-21,11:26,이체,저축,미분류,예금결산이자,0,KRW,우리 SUPER주거래 통장,
2026-03-21,10:43,이체,저축,미분류,예금결산이자,0,KRW,WON 통장,
2026-03-21,03:55,이체,미분류,미분류,입금 내역,224,KRW,저축예금,
2026-03-21,03:32,수입,금융수입,미분류,12.20~03.20,0,KRW,U드림 저축예금 (인터넷전용),
2026-03-21,03:05,이체,저축,미분류,12.20~03.20,470,KRW,신한 주거래 우대통장(S-lite),
2026-03-21,01:48,수입,금융수입,미분류,12.20~03.20,0,KRW,저축예금,
2026-03-21,01:32,수입,금융수입,미분류,12.20~03.20,0,KRW,신한S-MORE(에스모어)포인트통장,
2026-03-21,01:16,수입,금융수입,미분류,12.20~03.20,0,KRW,사이버증권거래저축예금,
2026-03-20,19:06,지출,의료/건강,약국,부개하늘약국,-1000,KRW,Air One (에어원) 스카이패스,
2026-03-20,07:30,지출,자동차,정비/수리,주식회사 오토피디아,-7560,KRW,카카오페이 간편결제,
2026-03-20,07:30,이체,이체,미분류,카카오페이,-10000,KRW,신한 주거래 우대통장(S-lite),
2026-03-20,07:10,지출,금융,보험,KB손020 03,-13000,KRW,신한 주거래 우대통장(S-lite),
